PHOTOID, LATITUDE, LONGITUDE, DATETIME
32709095394, 62.259406, 23.695905, 2017:03:04 12:12:12
32709078714, 62.259558, 23.698786, 2017:03:04 12:06:34
32709076754, 62.259558, 23.698786, 2017:03:04 12:05:27
33168966600, 62.259194, 23.699923, 2017:03:04 12:00:01
33552337515, 62.259274, 23.699029, 2017:03:04 11:33:00
32735673043, 62.251083, 23.778855, 2017:03:04 11:21:21
33513330685, 62.249427, 25.753733, 2017:03:18 14:27:14
33094331530, 61.515143, 23.800324, None
36073580822, 61.505839, 23.751540, 2017:03:06 19:09:54
36073576162, 61.506730, 23.749780, 2017:03:06 19:38:12
35545663081, 61.521288, 23.700080, 2017:03:11 13:09:12
34803948885, 61.827340, 23.321667, 2017:03:30 14:38:31
34763863906, 61.829847, 23.319232, 2017:03:30 14:42:04
34803948055, 61.540666, 24.047237, 2017:03:30 16:32:01
34417933490, 61.461482, 23.132572, 2017:03:30 20:28:51
34763842436, 61.550526, 23.600907, 2017:03:31 15:28:02
33544404390, 61.498698, 23.756808, 2017:03:04 15:34:19
33116574493, 61.492861, 23.769768, 2017:03:04 12:04:05
33772076112, 61.492861, 23.769768, 2017:03:04 12:05:14
33544400480, 61.492805, 23.770476, 2017:03:04 12:06:37
33772072552, 61.492027, 23.769478, 2017:03:04 12:11:17
33888148786, 61.492027, 23.769478, 2017:03:04 12:11:39
33888145586, 61.492134, 23.768277, 2017:03:04 12:15:38
33799525151, 61.492037, 23.766560, 2017:03:04 12:17:55
33888142016, 61.492037, 23.766560, 2017:03:04 12:19:53
33544388320, 61.491970, 23.766185, 2017:03:04 12:23:37
33888138556, 61.492411, 23.766249, 2017:03:04 12:29:14
33888134246, 61.492851, 23.766388, 2017:03:04 12:32:04
33544381300, 61.492851, 23.766388, 2017:03:04 12:32:28
33888106436, 61.493250, 23.765938, 2017:03:04 12:34:27
33544364850, 61.493614, 23.765444, 2017:03:04 12:39:09
33116536423, 61.493614, 23.765444, 2017:03:04 12:39:31
33086038924, 61.493711, 23.765949, 2017:03:04 12:40:48
33116532693, 61.494116, 23.766324, 2017:03:04 12:43:09
33799496281, 61.494582, 23.767375, 2017:03:04 12:45:25
33116529333, 61.494428, 23.767440, 2017:03:04 12:46:04
33772036152, 61.494510, 23.767719, 2017:03:04 12:46:56
33116525433, 61.494638, 23.767837, 2017:03:04 12:48:42
33799490391, 61.494638, 23.767837, 2017:03:04 12:49:33
33799487741, 61.495119, 23.768867, 2017:03:04 12:53:13
33929595585, 61.495119, 23.768867, 2017:03:04 12:53:38
33772030862, 61.494448, 23.769500, 2017:03:04 12:55:14
33544357170, 61.494448, 23.769500, 2017:03:04 12:55:28
33929585595, 61.498811, 23.776538, 2017:03:04 13:09:47
33116515103, 61.498811, 23.776538, 2017:03:04 13:10:05
33929581265, 61.498872, 23.778083, 2017:03:04 13:12:07
33116513223, 61.499082, 23.777514, 2017:03:04 13:19:31
33086006224, 61.499082, 23.777514, 2017:03:04 13:20:18
33086002534, 61.499338, 23.777471, 2017:03:04 13:29:46
33085968754, 61.499338, 23.777471, 2017:03:04 13:23:33
33772007332, 61.499338, 23.777471, 2017:03:04 13:25:30
33799440201, 61.499338, 23.777471, 2017:03:04 13:32:04
33799439091, 61.498785, 23.774693, 2017:03:04 13:42:28
33085936334, 61.499696, 23.775615, 2017:03:04 13:48:53
33799437971, 61.500428, 23.776034, 2017:03:04 13:51:46
33085928904, 61.500500, 23.771828, 2017:03:04 13:55:51
33085921254, 61.499149, 23.771367, 2017:03:04 14:01:12
33544276300, 61.499684, 23.771823, 2017:03:04 14:03:52
33771979322, 61.500162, 23.771023, 2017:03:04 14:05:42
33085911634, 61.501217, 23.770626, 2017:03:04 14:09:40
33771969452, 61.502763, 23.772686, 2017:03:04 14:14:27
33799426891, 61.504483, 23.774414, 2017:03:04 14:22:31
33116451063, 61.504483, 23.774414, 2017:03:04 14:22:40
33799423541, 61.507610, 23.772118, 2017:03:04 14:31:21
33085904814, 61.507328, 23.760305, 2017:03:04 14:39:34
33771957482, 61.507328, 23.760305, 2017:03:04 14:41:10
33085899594, 61.507211, 23.759543, 2017:03:04 14:42:24
33085897494, 61.507108, 23.759125, 2017:03:04 14:45:29
33771953082, 61.506888, 23.757945, 2017:03:04 14:47:02
33771950452, 61.506888, 23.757945, 2017:03:04 14:49:22
33085888924, 61.506781, 23.756850, 2017:03:04 14:50:22
33771946932, 61.507564, 23.762011, 2017:03:04 14:55:58
33888019316, 61.506330, 23.765670, 2017:03:04 15:01:55
33116435643, 61.506494, 23.766689, 2017:03:04 15:05:17
33929492995, 61.506274, 23.766582, 2017:03:04 15:05:50
33116433073, 61.506274, 23.766582, 2017:03:04 15:06:35
33888012046, 61.506187, 23.764189, 2017:03:04 15:10:15
33929489435, 61.506069, 23.761260, 2017:03:04 15:15:42
33888008616, 61.506069, 23.761260, 2017:03:04 15:16:19
33085874094, 61.506059, 23.760584, 2017:03:04 15:17:53
33771934252, 61.505993, 23.760359, 2017:03:04 15:18:38
33085870874, 61.505880, 23.760133, 2017:03:04 15:19:39
33116422663, 61.499312, 23.756593, 2017:03:04 15:32:49
33771912032, 61.506223, 23.766088, 2017:03:04 15:03:07
33771910312, 61.499261, 23.757054, 2017:03:04 15:33:13
33381674830, 61.516640, 23.687057, 2017:03:31 20:45:12
33594060242, 61.651810, 24.024921, 2017:03:30 00:21:52
33593598032, 61.499330, 23.743010, None
33357787700, 61.492144, 23.735972, 2017:03:30 11:59:37
33742637405, 61.490908, 23.753211, 2017:03:30 13:24:33
33736866885, 61.640177, 26.081628, 2017:03:29 10:33:54
32923675843, 61.640177, 26.081628, 2017:03:29 10:48:32
32904248813, 61.640177, 26.081628, 2017:03:29 10:36:23
33716038585, 61.640177, 26.081628, 2017:03:29 10:36:28
33663823106, 61.466700, 24.083300, None
33643327086, 61.912936, 25.303622, None
33526309082, 61.486378, 23.757945, None
33516704802, 61.483050, 23.794130, None
33657295915, 61.476447, 24.505238, 2017:03:26 12:17:16
33271587220, 61.494444, 23.760833, 2017:03:25 19:47:29
33655342845, 61.493611, 23.758333, 2017:03:25 19:42:20
33526302001, 61.494166, 23.759722, 2017:03:25 19:39:39
33655340485, 61.486072, 23.784005, 2017:03:25 19:25:32
32812697424, 61.485644, 23.785311, 2017:03:25 19:22:03
33526292861, 61.485994, 23.784177, 2017:03:25 19:24:05
33655334545, 61.494200, 23.769883, 2017:03:25 19:06:33
33655332315, 61.483961, 23.748133, 2017:03:25 18:40:48
33498794892, 61.483808, 23.748086, 2017:03:25 18:41:24
32812682074, 61.484069, 23.748094, 2017:03:25 18:40:11
33655320085, 61.484091, 23.748097, 2017:03:25 18:39:53
33526272961, 61.484080, 23.748088, 2017:03:25 18:39:40
33271564710, 61.484333, 23.748750, 2017:03:25 18:36:50
33655309255, 61.484452, 23.749069, 2017:03:25 18:35:46
33498765262, 61.485027, 23.750855, 2017:03:25 18:33:58
32812611434, 61.522340, 23.947600, None
33516844391, 61.501644, 23.756689, None
33487663382, 61.912847, 25.304050, None
32830401293, 61.912913, 25.303202, None
32830401513, 61.912977, 25.303247, None
33260272020, 61.912797, 25.304011, None
33643839155, 61.912802, 25.304055, None
33586018256, 61.487592, 23.794841, None
33492196351, 61.482906, 23.847794, None
33618016325, 61.498297, 23.776297, 2017:03:22 13:29:54
33453319472, 62.252271, 25.745129, None
33559761376, 61.516927, 23.665638, 2017:03:22 20:10:51
33600223435, 61.507138, 23.633119, 2017:03:22 19:04:28
32757742254, 61.511344, 23.639369, 2017:03:22 19:20:01
33550682896, 61.497222, 23.756111, 2017:03:21 19:01:46
32777187123, 61.497500, 23.755833, 2017:03:21 19:09:31
33550680926, 61.497222, 23.756111, 2017:03:21 19:26:05
32777185643, 61.497222, 23.756111, 2017:03:21 20:02:33
33434451852, 61.497500, 23.756111, 2017:03:21 18:54:46
33545602436, 61.476516, 24.504722, 2017:03:22 13:02:08
33401092772, 61.499722, 23.729722, 2017:03:20 19:42:20
33516965016, 61.499166, 23.728888, 2017:03:20 19:35:17
33516961596, 61.498888, 23.728888, 2017:03:20 19:33:28
33553205785, 61.514000, 23.845230, 2017:03:18 11:21:18
33407143971, 61.512002, 23.686425, 2017:03:18 17:59:59
33378771742, 61.512011, 23.686425, 2017:03:18 18:00:55
33378770662, 61.515630, 23.685861, 2017:03:18 18:07:09
33407141211, 61.515852, 23.685727, 2017:03:18 18:08:50
